"Statistic Label","Year","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2017","Dublin City - houses","Base Jan 2005 = 100","103.3"
"Residential Property Price Index","2017","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","103"
"Residential Property Price Index","2017","Fingal - houses","Base Jan 2005 = 100","94.5"
"Residential Property Price Index","2017","South Dublin - houses","Base Jan 2005 = 100","102.2"
"Residential Property Price Index","2017","National excluding Dublin - all residential properties","Base Jan 2005 = 100","86.8"
"Residential Property Price Index","2017","National excluding Dublin - houses","Base Jan 2005 = 100","88.5"
"Residential Property Price Index","2017","National excluding Dublin - apartments","Base Jan 2005 = 100","64.6"
"Residential Property Price Index","2017","Border excluding Louth - houses","Base Jan 2005 = 100","67.9"
"Residential Property Price Index","2017","Midland - houses","Base Jan 2005 = 100","78.5"
"Residential Property Price Index","2017","West - houses","Base Jan 2005 = 100","81.3"
"Residential Property Price Index","2017","Mid-East including Louth - houses","Base Jan 2005 = 100","100.2"
"Residential Property Price Index","2017","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","75.7"
"Residential Property Price Index","2017","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","85.7"
"Residential Property Price Index","2017","South-West - houses","Base Jan 2005 = 100","95.8"
"Residential Property Price Index","2018","National - all residential properties","Base Jan 2005 = 100","105.1"
"Residential Property Price Index","2018","National - houses","Base Jan 2005 = 100","108.4"
"Residential Property Price Index","2018","National - apartments","Base Jan 2005 = 100","87.4"
"Residential Property Price Index","2018","Dublin - all residential properties","Base Jan 2005 = 100","105.4"
"Residential Property Price Index","2018","Dublin - houses","Base Jan 2005 = 100","110.7"
"Residential Property Price Index","2018","Dublin - apartments","Base Jan 2005 = 100","89.5"
"Residential Property Price Index","2018","Dublin City - houses","Base Jan 2005 = 100","113.5"
"Residential Property Price Index","2018","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","112.2"
"Residential Property Price Index","2018","Fingal - houses","Base Jan 2005 = 100","102.9"
"Residential Property Price Index","2018","South Dublin - houses","Base Jan 2005 = 100","109"
"Residential Property Price Index","2018","National excluding Dublin - all residential properties","Base Jan 2005 = 100","97.2"
"Residential Property Price Index","2018","National excluding Dublin - houses","Base Jan 2005 = 100","98.7"
"Residential Property Price Index","2018","National excluding Dublin - apartments","Base Jan 2005 = 100","74.4"
"Residential Property Price Index","2018","Border excluding Louth - houses","Base Jan 2005 = 100","72.7"
"Residential Property Price Index","2018","Midland - houses","Base Jan 2005 = 100","88.3"
"Residential Property Price Index","2018","West - houses","Base Jan 2005 = 100","93.4"
"Residential Property Price Index","2018","Mid-East including Louth - houses","Base Jan 2005 = 100","111"
"Residential Property Price Index","2018","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","90.3"
"Residential Property Price Index","2018","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","94.3"
"Residential Property Price Index","2018","South-West - houses","Base Jan 2005 = 100","106.5"
"Residential Property Price Index","2019","National - all residential properties","Base Jan 2005 = 100","107.6"
"Residential Property Price Index","2019","National - houses","Base Jan 2005 = 100","110.9"
"Residential Property Price Index","2019","National - apartments","Base Jan 2005 = 100","89"
"Residential Property Price Index","2019","Dublin - all residential properties","Base Jan 2005 = 100","105.4"
"Residential Property Price Index","2019","Dublin - houses","Base Jan 2005 = 100","110.6"
"Residential Property Price Index","2019","Dublin - apartments","Base Jan 2005 = 100","89.8"
"Residential Property Price Index","2019","Dublin City - houses","Base Jan 2005 = 100","113.1"
"Residential Property Price Index","2019","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","108.4"
"Residential Property Price Index","2019","Fingal - houses","Base Jan 2005 = 100","104.4"
"Residential Property Price Index","2019","South Dublin - houses","Base Jan 2005 = 100","111"
"Residential Property Price Index","2019","National excluding Dublin - all residential properties","Base Jan 2005 = 100","101.9"
"Residential Property Price Index","2019","National excluding Dublin - houses","Base Jan 2005 = 100","103.3"
"Residential Property Price Index","2019","National excluding Dublin - apartments","Base Jan 2005 = 100","79.2"
"Residential Property Price Index","2019","Border excluding Louth - houses","Base Jan 2005 = 100","80"
"Residential Property Price Index","2019","Midland - houses","Base Jan 2005 = 100","93.9"
"Residential Property Price Index","2019","West - houses","Base Jan 2005 = 100","100.6"
"Residential Property Price Index","2019","Mid-East including Louth - houses","Base Jan 2005 = 100","112.3"
"Residential Property Price Index","2019","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","96.6"
"Residential Property Price Index","2019","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","100"
"Residential Property Price Index","2019","South-West - houses","Base Jan 2005 = 100","110.7"
"Residential Property Price Index","2020","National - all residential properties","Base Jan 2005 = 100","107.9"
"Residential Property Price Index","2020","National - houses","Base Jan 2005 = 100","111.5"
"Residential Property Price Index","2020","National - apartments","Base Jan 2005 = 100","90.4"
"Residential Property Price Index","2020","Dublin - all residential properties","Base Jan 2005 = 100","104.8"
"Residential Property Price Index","2020","Dublin - houses","Base Jan 2005 = 100","110.1"
"Residential Property Price Index","2020","Dublin - apartments","Base Jan 2005 = 100","90.6"
"Residential Property Price Index","2020","Dublin City - houses","Base Jan 2005 = 100","110.5"
"Residential Property Price Index","2020","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","107.3"
"Residential Property Price Index","2020","Fingal - houses","Base Jan 2005 = 100","106.8"
"Residential Property Price Index","2020","South Dublin - houses","Base Jan 2005 = 100","110.4"
"Residential Property Price Index","2020","National excluding Dublin - all residential properties","Base Jan 2005 = 100","103"
